title,platform,date,publisher,developer,metascore,user_score,esrb
Way of the Samurai 2,PlayStation 2,Jul__7_2004,Capcom,Acquire,59,8.7,M
We Love Katamari,PlayStation 2,Sep_20_2005,Namco,Namco,86,8.9,E
We Ski,Wii,May_13_2008,Namco Bandai Games,Bandai Namco Games,67,8.5,E
We Ski & Snowboard,Wii,Mar__3_2009,Namco Bandai Games,Bandai Namco Games,66,8.5,E
We. The Revolution,Switch,Jun_25_2019,Klabater,Polyslash,78,7.8,M
West of Loathing,Switch,May_31_2018,Asymmetric Publications,Asymmetric Publications,85,8.1,T
What Remains of Edith Finch,PlayStation 4,Apr_25_2017,Sony Interactive Entertainment,Giant Sparrow,88,8.3,T
What Remains of Edith Finch,PC,Apr_24_2017,Annapurna Interactive,Giant Sparrow,89,8.2,
Where is My Heart?,PSP,Nov__8_2011,Copenhagen Game Collective,Die Gute Fabrik,81,8.0,E
Whiplash,PlayStation 2,Nov_18_2003,Eidos Interactive,Crystal Dynamics,66,8.4,T
White Knight Chronicles International Edition,PlayStation 3,Feb__2_2010,SCEA,Level 5,64,8.0,T
Wii Sports,Wii,Nov_19_2006,Nintendo,Nintendo,76,8.0,E
Wii Sports Resort,Wii,Jul_26_2009,Nintendo,Nintendo,80,8.1,E
Wik & the Fable of Souls,Xbox 360,Dec_14_2005,Reflexive Entertainment,Reflexive Entertainment,77,7.8,E
Wild Arms 3,PlayStation 2,Oct_15_2002,SCEA,"Media Vision, Contrail",78,8.5,T
Wild Arms Alter Code: F,PlayStation 2,Nov_15_2005,Agetec Inc.,Media Vision,73,8.3,T
Wilson's Heart,PC,Apr_21_2017,Twisted Pixel Games,Twisted Pixel Games,79,7.9,
WinBack: Covert Operations,PlayStation 2,Mar_27_2001,Koei,Omega Force,66,8.0,T
WindJammers,Switch,Oct_23_2018,DotEmu,"Data East, DotEmu",81,8.4,E
Wing Commander: Prophecy,Game Boy Advance,Jun__4_2003,Destination Software,Raylight Studios,70,8.3,T
Wings Over Europe: Cold War Gone Hot,PC,May_24_2006,Bold Games,Third Wire,62,7.8,T
Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,Feb__6_2007,Konami,Konami,86,8.8,E
Winning Eleven: Pro Evolution Soccer 2007,PSP,Feb__6_2007,Konami,KCET,81,8.3,E
Wipeout 2048,PlayStation Vita,Feb_15_2012,SCEA,Studio Liverpool,79,8.2,E10+
Wipeout 3,PlayStation,Aug_31_1999,SCEE,Psygnosis,89,8.7,E
Wipeout Fusion,PlayStation 2,Jun_17_2002,Bam Entertainment,Studio Liverpool,83,8.4,E
Wipeout HD,PlayStation 3,Sep_25_2008,SCEA,Studio Liverpool,87,8.2,E10+
Wipeout HD Fury,PlayStation 3,Jul_23_2009,SCEA,Studio Liverpool,89,8.3,E10+
Wipeout Pulse,PSP,Feb_12_2008,SCEA,Studio Liverpool,82,8.6,E10+
Wipeout Pure,PSP,Mar_16_2005,SCEA,Studio Liverpool,88,8.0,E
Wipeout XL,PlayStation,Sep_30_1996,SCEE,Psygnosis,93,8.4,
Wipeout: Omega Collection,PlayStation 4,Jun__6_2017,Sony Interactive Entertainment,Sony Interactive Entertainment,85,8.1,E10+
Wizardry 8,PC,Nov_14_2001,Sir-Tech Software Inc.,Sir-Tech Software Inc.,85,8.3,T
Wizardry: Tale of the Forsaken Land,PlayStation 2,Dec_19_2001,Atlus Co.,Racjin,70,7.9,T
Wolf of the Battlefield: Commando 3,Xbox 360,Jun_25_2008,Capcom,Backbone Emeryville,66,7.9,T
Wolfenstein 3D,Xbox 360,Jun__3_2009,Activision,Nerve Software,66,8.2,M
Wolfenstein II: The New Colossus,Switch,Jun_29_2018,Bethesda Softworks,"Panic Button, MachineGames",79,7.8,M
Wolfenstein: The New Order,PC,May_19_2014,Bethesda Softworks,MachineGames,81,8.2,M
Wolfenstein: The New Order,PlayStation 4,May_20_2014,Bethesda Softworks,MachineGames,79,8.1,M
Wolfenstein: The New Order,Xbox One,May_20_2014,Bethesda Softworks,MachineGames,79,7.8,M
Wolfenstein: The Old Blood,PlayStation 4,May__5_2015,Bethesda Softworks,MachineGames,76,7.8,M
Wolfenstein: The Old Blood,Xbox One,May__5_2015,Bethesda Softworks,MachineGames,75,7.9,M
Wonder Boy: The Dragon's Trap,Switch,Apr_18_2017,DotEmu,Lizardcube,79,8.0,E10+
Wonder Boy: The Dragon's Trap,Xbox One,Apr_18_2017,DotEmu,Lizardcube,80,8.0,E10+
World Championship Poker,PlayStation 2,Nov_18_2004,Crave,Coresoft,60,7.9,E
World Driver Championship,Nintendo 64,May_31_1999,Midway,Boss Game Studios,75,8.1,E
World Poker Tour,PlayStation 2,Oct_18_2005,2K Sports,Coresoft,60,8.7,T
World Poker Tour,Xbox,Oct_18_2005,2K Sports,2K Sports,63,7.8,T
World Racing,Xbox,Mar_20_2003,TDK Mediactive,Synetic,56,8.3,E
World Rally Championship,PlayStation 2,Mar_21_2002,Bam Entertainment,Evolution Studios,80,8.7,E
World Series Baseball 2K3,PlayStation 2,Mar_17_2003,Sega,Blue Shift,87,8.7,E
World Series Baseball 2K3,Xbox,Mar_10_2003,Sega,Blue Shift,89,7.9,E
World Series of Poker,PlayStation 2,Aug_31_2005,Activision,Activision,46,8.2,E10+
World Soccer Winning Eleven 6 International,PlayStation 2,Mar_11_2003,Konami,KCET,93,8.3,E
World Soccer Winning Eleven 7 International,PlayStation 2,Feb_17_2004,Konami,KCET,93,8.4,E
World Soccer Winning Eleven 8 International,PlayStation 2,Feb__1_2005,Konami,KCET,91,8.4,E
World Soccer Winning Eleven 9,PC,Apr_28_2006,Konami,KCET,89,8.2,E
World Soccer Winning Eleven 9,Xbox,Feb__7_2006,Konami,KCET,89,7.9,E
World Tour Soccer 2003,PlayStation 2,Feb_10_2003,SCEA,SCEE London Studio,78,8.3,E
World Tour Soccer 2005,PlayStation 2,Apr_14_2004,SCEA,SCEE London Studio,68,7.9,E
World in Conflict,PC,Sep_18_2007,Sierra Entertainment,Massive Entertainment,89,8.1,T
World in Conflict: Soviet Assault,PC,Mar_10_2009,Ubisoft,Massive Entertainment,72,8.2,T
World of Final Fantasy,PlayStation 4,Oct_25_2016,Square Enix,Square Enix,77,7.8,E10+
World of Final Fantasy Maxima,Switch,Nov__6_2018,Square Enix,Square Enix,79,8.4,E10+
World of Final Fantasy Maxima,Xbox One,Nov__6_2018,Square Enix,Square Enix,81,7.8,E10+
World of Goo,Wii,Oct_13_2008,2D Boy,2D Boy,94,8.7,E
World of Goo,PC,Oct_12_2008,Take-Two Interactive,2D Boy,90,8.4,E
World of Outlaws: Sprint Cars 2002,PlayStation 2,Mar_26_2002,Infogrames,Ratbag,80,8.3,E
World of Warcraft: The Burning Crusade,PC,Jan_16_2007,Blizzard Entertainment,Blizzard Entertainment,91,8.0,T
Worldwide Soccer Manager 2005,PC,Dec__7_2004,Sega,Sports Interactive,89,8.3,E
Worms 2: Armageddon,Xbox 360,Jul__1_2009,Team 17,Team 17,84,7.9,E10+
Worms 3D,Xbox,Mar__1_2005,Sega,Team 17,69,8.3,T
Worms 4: Mayhem,Xbox,Oct__4_2005,Majesco Games,Team 17,69,8.3,T
Worms 4: Mayhem,PC,Oct__4_2005,Majesco Games,Team 17,71,7.8,T
Worms Forts: Under Siege,Xbox,Mar_15_2005,Sega,Team 17,67,8.3,T
Worms Forts: Under Siege,PlayStation 2,Mar_15_2005,Sega,Team 17,63,8.0,T
Worms Ultimate Mayhem,Xbox 360,Sep_28_2011,Team 17,Team 17,59,7.8,E10+
Worms W.M.D,Switch,Nov_23_2017,Team 17,Team 17,83,8.1,E10+
Worms W.M.D,Xbox One,Aug_23_2016,Team 17,Team 17,75,8.1,E10+
Worms World Party,Dreamcast,Jun__3_2001,Titus Software,Team 17,79,8.1,E
Worms: Battle Islands,PSP,Nov_22_2010,Team 17,Team 17,72,7.8,E10+
Worms: Open Warfare 2,PSP,Sep__4_2007,THQ,"Team 17, Two Tribes",80,8.3,E10+
Worms: Open Warfare 2,DS,Sep__4_2007,THQ,"Team 17, Two Tribes",81,8.1,E10+
Wulverblade,Xbox One,Jan_31_2018,Darkwind Media,Darkwind Media,77,8.4,M
Wuppo,PC,Sep_29_2016,Soedesco,Knuist & Perzik,78,8.2,
X-Men Legends,GameCube,Sep_21_2004,Activision,Raven Software,81,8.5,T
X-Men Legends,PlayStation 2,Sep_21_2004,Activision,Raven Software,79,8.2,T
X-Men Legends,Xbox,Sep_21_2004,Activision,Raven Software,82,8.0,T
X-Men Legends II: Rise of Apocalypse,Xbox,Sep_20_2005,Activision,Raven Software,84,8.5,T
X-Men Legends II: Rise of Apocalypse,PSP,Oct_18_2005,Activision,Vicarious Visions,84,8.3,T
X-Men Legends II: Rise of Apocalypse,PC,Sep_20_2005,Activision,Raven Software,80,8.3,T
X-Men Origins: Wolverine,DS,May__1_2009,Activision,Griptonite Games,55,8.5,E10+
X-Men Origins: Wolverine,Xbox 360,May__1_2009,Activision,Raven Software,75,8.3,M
X-Men Origins: Wolverine,PC,May__1_2009,Activision,Raven Software,77,7.9,M
X-Men Origins: Wolverine,PlayStation 3,May__1_2009,Activision,Raven Software,73,7.9,M
X-Men: Mutant Academy 2,PlayStation,Sep_17_2001,Activision,Paradox Development,72,8.4,T
X-Men: Next Dimension,PlayStation 2,Oct_15_2002,Activision,Paradox Development,61,8.7,T
X-Men: Next Dimension,GameCube,Oct_15_2002,Activision,Exakt,63,8.2,T
X-Men: The Arcade Game,PlayStation 3,Dec_14_2010,Konami,Konami,64,8.1,E10+
X-Men: The Official Game,Game Boy Advance,May_16_2006,Activision,WayForward,55,8.6,E10+
X-Men: The Official Game,Xbox,May_16_2006,Activision,"Z-Axis, Ltd.",53,8.1,T
X-Men: The Official Game,DS,May_16_2006,Activision,Amaze Entertainment,50,7.8,E10+
X3: Terran Conflict,PC,Oct_16_2008,Atari,Egosoft,73,7.9,T
XCOM 2: War of the Chosen,PC,Aug_29_2017,2K Games,Firaxis Games,88,7.8,T
XCOM: Enemy Unknown,Xbox 360,Oct__9_2012,2K Games,Firaxis Games,90,8.3,M
XCOM: Enemy Unknown,PlayStation 3,Oct__9_2012,2K Games,Firaxis Games,89,8.3,M
XCOM: Enemy Unknown,PC,Oct__8_2012,2K Games,Firaxis Games,89,8.2,M
XCOM: Enemy Unknown Plus,PlayStation Vita,Mar_22_2016,2K Games,Firaxis Games,82,8.1,M
XCOM: Enemy Within,PC,Nov_11_2013,2K Games,Firaxis Games,86,8.0,M
XGIII: Extreme G Racing,PlayStation 2,Aug_21_2001,Acclaim,Acclaim,81,8.2,E
XGRA: Extreme-G Racing Association,PlayStation 2,Sep_11_2003,Acclaim,Acclaim Studios Cheltenham,68,8.6,T
XIII,PlayStation 2,Nov_18_2003,Ubisoft,Ubisoft Paris,73,8.5,M
XIII,Xbox,Nov_24_2003,Ubisoft,Southend Interactive,74,8.1,M
